gpu_temperature,gpu_power_load,ambient_temperature,humidity,water_temperature,tds,ph,conductivity,tower_age,cooling_cycles,flow_rate,daily_water_usage,scaling_risk
66.6,72.47,40.31,20.02,33.65,352.64,8.1,498.52,12.1,16.51,45.65,4466.16,1
70.81,77.1,28.14,28.89,31.91,675.13,7.29,977.02,2.24,13.6,84.11,5731.35,1
83.64,35.68,25.27,85.35,35.18,525.75,6.9,684.15,2.31,4.91,198.16,8192.3,1
51.65,96.6,31.39,80.71,30.92,549.99,7.5,693.66,14.24,8.21,83.24,8953.86,1
61.36,88.69,17.74,36.35,25.66,347.91,7.62,491.63,12.38,6.43,146.19,8769.71,1
82.1,86.36,37.7,74.49,36.96,1166.92,8.2,1603.4,8.51,9.81,58.93,6883.83,1
90.28,87.61,32.47,62.6,36.05,211.09,8.97,304.38,13.19,12.32,136.3,2574.21,1
73.03,95.29,20.6,87.96,31.43,575.01,6.6,747.77,14.85,12.14,197.52,1673.9,1
73.95,68.1,20.65,46.15,33.48,409.29,7.16,517.43,9.35,17.09,86.69,7689.14,1
54.82,44.02,20.53,67.7,28.42,906.85,7.02,1222.87,9.39,5.78,175.69,7807.07,1
70.13,73.17,16.71,24.45,29.8,505.1,7.86,640.01,11.44,20.93,199.61,7097.71,1
73.97,82.0,32.63,47.74,36.19,510.8,7.66,665.24,3.87,8.86,134.17,3599.43,1
60.91,81.65,40.21,87.47,37.7,786.01,8.47,1002.31,2.92,8.0,89.5,6298.63,1
62.12,66.5,15.52,57.73,26.63,983.23,7.15,1273.11,11.51,15.7,147.77,3871.86,1
66.98,34.79,16.47,40.15,28.8,345.57,8.11,439.29,5.5,18.11,175.18,4879.86,1
50.9,55.98,32.18,28.42,28.35,410.61,8.89,591.6,2.46,9.57,67.42,4368.26,1
64.49,94.45,39.58,69.25,32.25,496.61,8.96,648.43,5.07,16.94,112.4,8352.3,1
59.52,70.91,24.8,65.14,27.19,1368.5,9.09,1832.12,5.7,19.67,91.07,3256.18,1
64.74,67.68,25.49,46.18,30.09,676.58,8.59,967.33,14.5,17.34,85.34,5832.08,1
55.39,48.82,32.89,86.57,30.48,918.79,8.95,1272.95,10.62,2.68,177.73,4207.36,1
90.07,55.79,23.23,21.55,39.5,489.85,7.13,672.86,8.2,18.55,107.46,6473.03,1
76.71,92.67,15.8,41.26,29.87,788.55,7.03,1096.96,14.55,17.49,94.25,5734.22,1
80.56,76.65,37.06,84.47,40.47,288.94,6.52,409.08,13.6,15.39,136.56,8429.83,1
85.51,85.12,33.77,42.47,37.33,241.69,8.41,344.54,7.92,17.2,75.1,2262.09,1
72.43,61.8,32.42,37.66,33.83,762.48,9.03,1051.1,13.63,21.59,76.78,3154.81,1
53.91,74.12,37.25,57.4,28.86,678.39,7.0,968.74,6.36,10.62,123.25,7247.61,1
74.17,47.39,35.26,77.67,34.4,364.26,8.22,494.32,3.84,3.34,105.48,4265.9,1
76.41,79.38,21.18,27.22,32.57,1025.12,8.52,1338.25,3.87,11.22,87.2,2743.38,1
83.54,59.93,25.57,86.01,34.85,1391.48,9.0,1984.28,10.1,2.93,48.63,5274.91,1
69.42,60.98,18.78,75.66,30.82,674.78,8.25,916.54,7.77,7.89,123.32,6391.07,1
55.74,75.45,18.9,32.69,25.91,949.47,9.12,1358.91,10.05,13.74,170.66,1836.2,1
62.77,95.54,35.29,69.84,32.34,1355.57,7.43,1705.35,10.45,8.19,176.22,3687.16,1
66.34,34.48,40.76,46.95,40.15,1197.84,7.44,1592.53,0.82,15.71,77.67,7570.67,1
79.07,87.73,43.88,48.16,39.94,756.26,7.97,1088.69,1.28,18.44,135.94,5401.83,1
75.69,50.47,33.85,74.83,38.09,1084.99,7.54,1410.41,8.22,10.41,176.94,1765.34,1
66.02,61.07,20.52,87.39,27.89,353.76,6.5,508.82,3.27,20.0,105.4,3614.63,1
94.39,31.53,18.17,28.87,36.38,814.52,8.48,1173.55,9.67,3.6,189.14,6293.55,1
77.26,51.07,39.39,49.44,39.96,534.87,8.53,762.96,8.51,18.8,184.48,2995.2,1
60.68,65.18,32.36,53.67,31.91,393.4,8.52,536.09,8.99,18.57,73.3,7705.44,1
54.58,33.93,33.55,46.34,25.68,711.54,7.43,981.49,4.89,8.44,81.43,6574.32,1
56.88,64.38,38.44,45.42,32.71,357.22,7.91,508.65,9.78,7.97,68.87,5035.34,1
61.07,94.9,36.1,23.66,35.36,1038.78,7.47,1459.68,12.53,8.1,71.37,8367.18,1
57.23,37.38,40.03,67.99,34.37,747.49,6.54,1028.56,14.97,18.23,185.26,4438.51,1
58.4,83.51,16.69,50.54,26.33,837.37,8.02,1211.22,12.66,18.63,188.98,3263.05,1
62.83,58.68,37.43,33.64,30.36,375.65,6.83,521.08,8.58,8.59,48.3,6460.52,1
57.8,75.86,40.53,77.12,32.19,367.73,6.72,531.4,3.3,13.85,134.98,5799.71,1
90.35,48.22,23.58,76.18,36.67,900.1,8.54,1135.45,10.38,4.78,130.28,4014.36,1
53.61,41.16,34.21,54.05,31.2,1382.01,6.53,1765.92,14.1,11.38,102.49,4077.48,1
73.6,41.23,24.42,40.89,34.38,315.5,9.09,422.86,3.57,21.98,141.07,4486.58,1
68.47,34.93,43.74,64.67,37.14,542.88,7.89,720.39,4.21,5.18,191.58,3683.54,1
94.21,43.0,16.0,40.17,34.96,1243.35,9.15,1748.83,2.66,20.95,67.24,6826.81,1
55.04,76.5,32.39,36.52,30.13,286.73,6.66,367.62,11.18,18.49,59.27,6385.19,1
67.9,91.72,20.0,71.14,27.0,1251.06,8.08,1808.06,6.4,21.44,45.34,4805.83,1
93.63,86.99,36.37,22.82,36.62,829.14,7.44,1088.68,1.41,5.59,98.21,4483.91,1
88.95,77.96,20.28,26.63,35.2,689.92,8.78,921.58,13.19,6.27,94.02,4237.88,1
86.77,37.73,22.06,20.48,34.76,571.62,7.48,745.93,8.59,2.34,108.93,3626.01,1
61.61,50.24,29.83,30.71,29.61,556.54,7.2,760.16,5.3,16.49,120.53,2142.72,1
57.69,51.69,42.45,24.83,31.04,566.96,8.82,715.35,5.49,14.88,161.25,3511.54,1
80.09,47.5,21.35,89.71,33.75,1261.76,7.51,1614.98,4.71,5.56,102.74,3909.01,1
91.82,66.05,19.33,40.22,34.19,1068.55,6.55,1495.08,7.1,17.82,92.9,5607.63,1
75.05,67.49,37.77,30.45,38.1,1003.67,7.55,1292.02,5.39,7.98,172.3,7303.41,1
75.72,54.98,30.02,36.87,38.17,1158.5,8.27,1502.69,8.45,4.7,175.97,4467.77,1
62.6,54.77,42.35,85.53,31.19,508.54,7.19,716.32,11.72,10.45,77.24,8585.68,1
84.63,88.0,19.4,56.41,31.55,941.65,7.67,1194.64,10.28,3.82,90.35,7705.12,1
58.42,85.25,34.38,45.54,31.22,752.08,6.65,1005.9,4.77,7.26,172.02,8886.01,1
64.57,51.55,21.99,81.14,31.75,1138.93,8.09,1428.92,8.17,9.43,52.71,8071.52,1
69.14,93.97,19.7,47.65,25.91,571.11,8.54,753.5,12.68,19.04,92.14,6125.44,1
72.84,96.7,35.5,43.45,39.51,971.81,7.62,1350.62,1.49,17.85,111.74,5988.59,1
60.91,52.87,32.81,34.51,31.98,1258.65,7.63,1596.0,1.64,10.86,69.93,2471.45,1
55.17,54.81,37.64,46.45,31.78,682.58,6.74,974.5,8.56,16.49,68.79,6917.99,1
77.48,65.39,24.28,42.17,32.47,279.95,7.05,400.86,9.77,13.37,107.98,6001.55,1
62.99,95.88,28.44,67.41,29.83,819.26,6.92,1041.28,3.57,8.82,160.72,5301.99,1
76.16,91.34,27.16,40.27,35.64,615.17,7.8,890.85,11.31,16.52,174.44,6699.65,1
56.95,37.18,44.52,60.4,32.68,1006.67,7.93,1318.24,9.87,15.67,196.68,4830.36,1
71.65,57.49,23.77,24.61,31.92,1341.24,9.06,1699.11,13.89,14.38,51.84,5428.95,1
73.97,68.74,23.84,33.39,31.07,782.73,6.7,979.21,2.95,14.36,74.67,4487.64,1
52.33,65.22,25.64,48.52,25.53,759.43,8.12,1011.33,11.39,15.66,161.06,6880.28,1
65.15,43.57,31.94,85.59,37.64,985.5,7.92,1356.01,1.71,9.69,126.5,8074.58,1
56.05,90.12,22.57,46.41,27.75,324.2,7.89,426.78,8.7,19.38,92.43,7806.34,1
52.85,77.39,42.46,66.49,34.3,504.21,8.86,714.64,8.5,5.25,72.89,7395.19,1
94.55,88.65,22.97,37.86,38.95,1302.78,7.05,1815.18,6.13,19.68,84.88,1603.41,1
64.51,90.11,41.87,28.89,32.94,1003.93,6.61,1325.22,12.75,8.85,108.69,8339.1,1
86.44,82.38,18.1,24.1,36.45,216.13,8.32,301.91,0.56,4.5,68.34,3561.57,1
61.46,60.74,34.7,41.38,27.49,445.55,7.43,640.75,8.04,14.0,194.28,8159.8,1
80.67,72.74,42.21,31.04,38.4,1019.4,6.55,1293.24,3.65,9.52,57.21,2977.26,1
84.21,41.23,20.06,32.18,32.16,1117.28,7.18,1465.0,11.28,18.31,197.69,4797.34,1
76.8,77.16,44.05,73.25,40.78,1207.83,7.34,1621.71,1.12,10.62,174.7,7120.49,1
71.22,42.55,28.59,21.11,33.25,550.61,8.17,743.11,12.56,15.37,107.7,6302.09,1
68.53,78.58,43.37,59.05,36.98,1317.23,6.97,1789.38,12.65,8.17,158.37,4619.41,1
65.7,46.07,35.3,46.56,33.76,863.54,7.62,1131.34,12.58,6.19,147.44,6589.68,1
91.83,38.23,24.05,55.46,34.42,1035.85,7.8,1433.04,2.71,9.76,74.13,5617.12,1
87.38,41.57,20.65,59.4,31.08,916.09,7.74,1263.3,9.64,14.14,94.25,3568.02,1
93.43,30.14,24.11,41.94,38.25,347.29,9.13,474.24,0.71,15.14,122.1,6347.47,1
55.59,80.31,17.79,40.66,26.51,1355.74,6.62,1725.52,12.8,13.56,142.06,3031.85,1
82.89,81.27,19.32,71.34,35.65,347.45,9.07,467.46,10.98,21.76,126.86,6704.91,1
92.23,66.05,18.14,80.99,32.83,505.86,8.07,668.36,8.2,15.82,115.68,1523.33,1
58.16,41.3,27.69,33.48,30.62,1176.35,8.65,1585.97,11.09,20.63,110.9,5615.79,1
52.99,35.85,38.87,26.83,31.28,942.32,7.66,1351.63,1.87,4.36,119.72,4508.01,1
83.35,31.34,19.24,82.85,34.95,1205.78,7.73,1623.11,8.17,3.23,109.5,3773.28,1
75.85,41.6,18.91,44.49,32.63,818.88,8.87,1025.89,4.72,8.22,126.61,5367.81,1
87.88,92.36,34.3,58.59,39.4,652.39,8.92,872.75,14.6,4.73,182.08,6339.84,1
56.29,46.91,20.92,45.17,25.71,1306.21,7.14,1847.16,12.93,12.52,141.25,8739.84,1
85.79,54.8,17.93,28.81,34.64,243.5,7.04,342.37,11.13,12.38,155.62,7747.98,1
59.07,37.37,20.01,61.25,28.06,1227.36,7.84,1660.22,14.04,13.5,135.6,6878.62,1
57.36,45.57,42.71,56.76,32.92,476.98,8.93,620.05,5.53,16.9,142.88,5092.25,1
57.39,66.35,39.64,34.21,30.57,1218.48,7.37,1636.45,13.56,21.43,132.54,4441.08,1
86.66,72.54,25.62,51.63,35.05,367.04,8.26,500.17,5.22,19.57,44.3,1743.97,1
79.93,47.17,34.67,75.79,40.15,896.26,8.41,1299.56,11.13,4.37,199.94,4193.23,1
73.54,34.04,31.12,61.33,36.57,1265.73,8.6,1745.23,11.18,8.77,45.38,7862.83,1
66.15,57.37,35.31,26.78,31.67,768.25,8.02,1066.98,0.77,7.12,103.22,4380.18,1
89.47,46.39,35.48,58.36,37.45,1095.88,7.59,1477.56,5.74,5.54,56.82,4961.89,1
67.66,45.37,33.86,69.19,36.32,1165.61,9.11,1539.65,0.78,12.89,55.51,3538.76,1
86.75,97.19,22.98,75.49,32.46,1083.79,8.15,1530.96,14.96,13.07,166.96,3556.0,1
69.76,73.14,16.17,64.04,29.12,1310.4,8.47,1767.71,2.27,6.54,108.15,1964.04,1
66.96,68.98,28.67,30.69,30.54,736.2,7.43,1066.71,8.37,16.24,168.18,6103.53,1
70.82,59.1,41.73,69.71,40.54,407.75,8.31,546.97,11.96,16.66,83.65,4860.52,1
63.56,60.03,32.08,67.41,30.58,257.37,7.2,325.22,3.42,2.42,81.03,6044.71,1
83.64,67.86,39.97,21.71,42.0,495.75,7.16,687.37,7.53,9.92,80.2,5601.65,1
72.62,78.75,44.75,48.82,39.19,371.84,8.43,468.26,9.31,19.8,138.58,7491.33,1
60.45,79.15,19.91,43.31,27.58,869.54,7.91,1130.49,2.82,12.41,170.4,7132.59,1
90.48,42.02,35.75,66.86,36.19,421.93,8.34,557.27,11.79,8.95,112.36,7285.9,1
67.28,65.01,35.23,35.13,29.74,246.72,7.23,344.89,4.84,7.07,100.68,5244.29,1
74.46,58.84,44.4,61.36,38.71,243.19,8.12,328.02,3.56,6.87,195.77,4154.11,1
90.79,90.94,44.57,83.92,42.0,1197.88,7.7,1504.22,8.6,4.0,58.68,8500.77,1
78.09,74.2,35.6,75.85,34.73,909.74,8.11,1249.41,6.45,18.34,117.86,1907.02,1
55.26,67.28,22.31,84.5,24.45,629.7,7.29,838.94,13.84,3.73,105.36,2644.66,1
92.29,38.08,38.96,88.5,42.0,1273.07,8.43,1826.05,13.26,7.85,55.7,4646.99,1
78.25,72.39,18.21,20.75,32.06,284.24,8.68,383.69,7.51,2.91,82.91,6104.68,1
65.07,38.2,38.42,63.59,34.44,1376.39,7.2,1915.65,5.71,17.63,44.55,1561.5,1
56.27,53.6,42.31,48.9,35.43,939.55,7.31,1215.57,5.22,2.79,180.31,6894.92,1
85.73,40.0,26.49,80.19,33.35,420.16,8.29,589.14,4.38,8.17,137.26,5690.45,1
77.9,78.45,33.92,37.63,35.64,1014.88,8.38,1414.94,8.4,13.47,170.4,5135.27,1
74.01,44.44,27.9,88.67,36.56,1116.06,8.4,1596.87,12.17,10.19,123.45,4676.21,1
90.23,57.43,28.13,62.96,37.54,715.21,8.34,898.85,5.01,7.65,135.92,5396.15,1
85.49,92.7,24.31,75.55,35.13,1233.96,7.56,1652.89,3.26,7.5,152.14,2713.39,1
56.83,44.3,37.86,25.99,37.07,380.88,7.57,527.83,7.39,17.96,185.28,2315.34,1
64.03,65.55,43.09,32.84,33.29,534.61,7.19,678.43,1.5,21.48,54.68,3672.28,1
61.18,59.35,43.22,73.09,37.02,312.19,6.92,415.88,10.67,8.96,92.95,6821.29,1
83.48,31.27,20.24,21.54,36.28,453.05,8.37,651.69,8.02,2.78,153.44,5912.16,1
51.51,85.49,41.24,77.18,31.66,486.47,6.75,650.51,7.7,2.73,193.34,5100.92,1
75.65,34.83,37.12,20.98,38.62,1301.16,9.03,1882.88,4.86,17.18,196.93,5786.41,1
84.31,63.2,22.59,66.0,32.02,293.73,8.73,370.5,13.62,13.05,142.1,5694.44,1
89.45,69.25,17.02,45.56,31.95,712.9,8.82,993.47,1.81,17.67,70.98,3802.81,1
65.39,73.99,23.04,62.8,30.18,838.88,8.95,1146.08,13.11,15.95,59.07,2230.92,1
86.96,78.2,42.37,68.72,42.0,1278.43,7.6,1726.02,5.96,20.15,191.37,8225.87,1
54.98,47.73,34.0,43.97,32.88,1397.24,8.79,2017.84,13.27,19.72,109.43,5999.33,1
88.09,30.7,36.63,27.56,42.0,1104.07,6.93,1408.71,11.07,17.77,71.17,6733.11,1
55.74,80.64,22.71,24.88,26.75,1364.95,6.56,1950.79,2.01,11.5,189.42,4979.98,1
67.88,67.5,36.58,61.23,37.16,1144.52,8.62,1588.88,12.56,8.16,56.72,7173.6,1
85.88,88.53,15.84,56.45,31.33,1355.84,6.7,1765.04,10.39,12.14,156.73,5883.73,1
56.75,87.5,26.26,71.95,30.18,1048.72,9.17,1500.03,0.97,12.04,140.04,1903.51,1
60.32,89.03,33.8,55.68,32.32,295.72,8.32,395.04,2.44,14.21,54.04,8175.73,1
82.5,63.96,19.38,49.57,33.3,682.3,8.53,963.99,9.72,5.72,94.2,3791.52,1
82.4,53.35,39.69,47.87,40.34,975.92,7.16,1295.79,10.11,15.11,63.99,2534.18,1
78.85,85.41,22.05,21.85,29.22,620.86,8.32,881.74,11.33,11.13,136.72,2160.31,1
81.23,61.59,34.57,43.49,35.16,528.06,6.62,727.31,10.94,14.4,116.34,6903.3,1
74.42,42.84,27.16,88.32,33.32,892.88,8.76,1141.29,10.06,6.79,40.68,6779.76,1
61.33,89.85,32.88,81.15,28.47,1320.2,6.96,1821.79,11.61,10.69,196.11,6751.22,1
65.56,91.78,18.22,43.06,29.43,241.98,8.38,311.73,8.84,6.2,95.93,8368.15,1
58.17,62.64,15.51,61.15,26.71,1123.08,7.11,1496.37,4.28,19.51,81.31,4117.07,1
90.88,35.3,42.29,79.31,42.0,1067.27,6.68,1370.44,13.73,11.76,75.59,5708.5,1
76.25,57.15,23.09,50.89,29.9,1356.74,7.8,1701.9,0.76,6.5,65.41,6146.22,1
68.04,86.25,39.59,21.26,38.63,1316.85,6.96,1701.87,5.82,2.82,199.86,8846.11,1
70.79,93.12,44.98,25.22,42.0,1114.68,8.47,1512.93,11.07,15.51,87.22,3842.6,1
92.63,44.24,21.34,55.73,35.92,824.49,7.14,1110.02,6.69,6.29,104.88,8672.48,1
56.9,34.69,22.96,87.86,28.28,445.12,7.42,601.05,0.86,21.79,179.42,2615.51,1
76.38,91.41,34.89,68.52,36.71,854.28,8.03,1110.17,1.46,12.67,142.7,7230.01,1
72.76,57.26,43.96,24.96,39.64,1118.42,7.27,1551.29,9.91,7.78,98.99,6246.64,1
77.52,67.92,42.47,33.26,39.01,1274.8,7.52,1773.06,14.49,15.15,183.73,7626.72,1
50.81,97.76,30.09,73.99,28.16,1147.65,8.7,1516.73,8.5,7.5,159.96,1715.14,1
89.25,34.66,38.85,78.9,42.0,434.32,6.98,619.44,7.85,18.41,76.46,2085.98,1
91.95,75.38,19.07,63.24,39.35,919.62,6.72,1267.98,5.12,8.16,143.0,2022.72,1
75.43,35.19,44.32,65.11,36.57,598.61,7.39,833.63,4.22,21.76,187.58,5947.2,1
81.35,56.28,43.93,21.98,40.51,211.05,7.65,275.51,0.8,14.1,119.43,6022.02,1
91.51,86.27,19.91,78.0,32.49,440.27,7.97,550.39,4.46,18.89,157.38,8295.79,1
81.83,60.34,23.98,75.18,37.03,335.86,7.51,477.96,7.01,3.46,195.38,5007.03,1
56.86,99.8,18.0,38.13,24.34,1211.26,8.63,1713.31,3.37,8.97,150.47,2010.37,1
75.93,69.13,23.15,69.61,29.2,510.21,6.61,650.33,1.77,16.75,56.39,3071.47,1
77.3,52.48,39.48,35.04,39.42,541.64,7.67,717.57,10.91,15.1,79.13,1560.55,1
69.09,45.41,26.35,22.82,34.98,1351.92,7.53,1868.72,13.47,5.88,135.22,7325.36,1
83.14,54.54,17.65,34.08,33.29,654.9,8.25,904.04,14.08,9.12,84.09,7617.0,1
92.05,56.08,25.27,32.5,37.26,211.5,9.11,300.77,9.46,7.27,193.21,8984.55,1
91.65,34.81,44.44,43.64,42.0,540.62,7.88,690.94,1.27,14.27,104.86,4591.46,1
70.29,55.87,33.89,49.29,37.26,343.16,9.16,458.46,11.24,8.89,113.16,1644.74,1
55.1,62.5,27.48,55.6,26.65,323.37,7.32,410.5,2.1,8.18,152.26,3260.47,1
94.32,80.59,20.0,53.37,35.35,292.98,6.58,389.06,10.21,6.15,123.88,5908.27,1
87.75,75.97,44.59,38.95,41.64,911.91,6.95,1142.64,11.8,10.18,101.14,8714.57,1
55.61,79.61,39.63,22.04,30.44,427.22,7.57,610.77,11.03,5.91,52.26,2276.84,1
91.44,30.59,23.44,62.36,35.41,633.49,7.35,858.64,14.3,21.25,135.43,2411.8,1
89.15,45.24,17.1,47.7,35.49,1234.42,6.76,1752.83,11.2,5.09,178.81,6763.19,1
73.35,76.32,16.7,40.91,30.31,709.21,7.67,895.0,10.55,20.27,149.72,6504.05,1
76.61,63.88,18.61,80.69,31.95,1298.83,7.41,1682.62,4.3,10.57,101.04,3378.8,1
67.96,30.37,32.42,72.27,33.63,797.53,6.83,1038.28,13.91,9.56,60.44,7598.59,1
52.46,86.31,42.86,80.04,34.16,678.6,7.3,900.74,3.1,6.63,170.61,2465.84,1
65.08,84.1,29.9,54.65,30.14,1100.47,8.89,1552.29,13.62,14.72,190.68,8443.06,1
86.13,68.39,40.29,29.17,40.01,287.81,7.32,382.01,5.03,15.71,102.12,3007.74,1
50.21,34.65,28.38,68.74,27.87,307.37,8.43,396.8,2.39,11.35,156.58,2110.14,1
65.01,83.66,36.26,34.43,34.5,982.37,8.15,1240.73,12.49,3.11,105.72,4046.42,1
67.92,70.86,36.96,50.89,35.55,784.33,7.65,992.88,0.54,20.37,120.36,2908.81,1
74.18,84.74,20.22,24.55,30.35,1148.5,7.15,1610.21,12.57,21.61,173.84,5452.06,1
91.39,82.62,25.84,77.77,36.14,1299.53,7.5,1740.01,4.3,10.62,53.35,6651.35,1
65.59,86.21,34.12,28.82,39.65,666.04,8.1,929.28,13.33,14.27,124.85,5181.91,1
65.61,66.26,17.12,83.22,29.21,915.69,7.45,1269.57,10.53,11.01,74.34,6454.55,1
83.19,39.82,25.85,80.5,35.67,800.84,7.08,1022.73,10.16,8.44,94.37,4236.9,1
70.35,76.98,31.04,52.52,32.99,1377.93,6.81,1761.79,5.8,3.55,143.11,1709.42,1
60.11,73.43,44.89,72.11,34.83,1197.3,8.88,1677.5,1.36,11.12,44.36,8805.48,1
70.36,81.96,29.24,63.36,32.56,1294.09,7.69,1804.28,12.54,18.37,135.01,7645.6,1
56.34,41.89,39.48,76.22,33.49,505.21,8.19,669.71,2.98,2.34,85.35,2050.64,1
57.94,43.65,27.96,50.23,25.51,1127.03,7.82,1426.24,5.9,13.64,147.12,4868.82,1
72.43,92.33,38.89,75.01,33.58,518.57,8.86,649.46,9.21,19.62,62.65,6262.64,1
68.85,82.5,32.86,52.37,32.44,450.49,7.98,589.08,7.49,6.35,157.73,2929.46,1
91.17,93.58,41.6,85.87,42.0,1333.12,7.8,1668.86,3.38,5.67,143.3,5834.91,1
66.31,83.11,27.33,54.05,30.66,223.17,9.0,289.23,2.54,17.45,195.4,5502.36,1
76.13,71.8,33.13,52.38,38.58,1358.47,8.44,1812.06,2.29,7.1,185.8,3061.99,1
78.45,75.79,33.9,74.96,33.51,379.11,6.8,483.1,13.01,5.84,85.33,2559.08,1
50.59,92.24,27.52,77.51,25.78,1183.33,6.98,1503.84,0.96,9.56,44.37,7192.22,1
79.86,70.52,19.33,58.81,34.77,531.11,8.63,759.1,14.67,9.85,144.86,3919.4,1
58.01,74.27,17.81,32.59,26.0,620.84,8.76,848.75,3.38,19.48,136.46,3330.3,1
93.25,40.95,15.5,52.74,35.51,460.11,7.97,661.13,2.1,14.37,44.39,7034.09,1
56.69,63.17,41.21,87.77,37.7,902.62,8.0,1190.7,8.87,10.12,59.63,7020.52,1
68.66,80.15,22.09,72.71,28.51,617.71,8.21,855.8,1.66,12.69,133.55,3573.01,1
53.84,48.97,21.35,76.78,25.73,988.87,7.69,1276.57,9.24,21.08,185.89,8044.26,1
94.86,44.16,37.08,22.3,41.15,218.78,8.34,300.53,12.83,4.26,185.04,6661.88,1
72.6,51.97,24.6,52.75,27.85,277.25,6.79,353.75,1.19,6.15,64.24,4093.23,1
76.79,46.91,30.18,65.26,34.14,319.59,9.1,399.62,12.1,21.25,101.53,4706.17,1
53.02,45.04,19.88,78.1,26.97,702.79,8.53,1009.43,6.22,21.15,46.91,6950.32,1
83.75,59.74,43.79,23.45,42.0,1177.76,8.2,1602.9,2.81,5.54,115.08,3086.88,1
59.45,93.55,40.55,79.67,35.29,1265.81,7.35,1816.93,3.05,4.9,160.49,5015.71,1
90.41,65.49,40.91,58.39,41.17,493.77,6.93,650.18,13.82,10.42,166.4,6401.69,1
59.23,43.15,27.2,33.81,28.02,889.24,7.61,1169.85,2.1,2.99,119.84,5546.24,1
58.58,35.39,37.87,42.21,35.44,1122.04,8.29,1492.46,13.07,15.1,55.34,6062.46,1
51.64,78.73,19.32,39.74,23.68,546.6,8.21,760.43,8.39,3.55,101.02,5596.59,1
71.24,56.8,15.26,57.16,28.74,690.81,7.53,941.68,1.07,3.16,189.14,2994.21,1
75.42,87.53,15.6,23.62,29.64,828.77,8.16,1189.34,7.23,11.7,76.74,4576.54,1
52.96,76.17,32.6,31.1,32.57,361.85,8.7,454.15,12.35,21.16,91.16,5489.89,1
84.9,85.74,28.66,76.89,38.2,231.18,6.57,321.72,11.03,10.54,159.49,7350.47,1
70.4,49.04,30.54,29.28,30.7,383.37,7.72,504.54,7.59,9.13,157.37,6404.28,1
73.6,78.47,15.22,36.34,26.35,952.22,8.55,1224.61,12.97,21.96,185.95,4699.43,1
69.83,48.48,27.68,51.74,33.3,288.34,7.97,389.86,2.25,12.64,102.1,8808.0,1
68.03,95.73,36.54,56.2,34.67,427.64,8.26,577.74,13.69,9.5,122.34,2308.47,1
75.18,74.55,28.28,73.45,32.78,605.42,7.9,773.37,12.77,9.72,114.78,3051.04,1
56.99,52.72,36.97,51.31,34.22,293.44,9.18,378.65,10.77,5.9,188.44,4059.84,1
58.19,48.87,21.99,75.29,27.62,430.04,6.65,572.65,12.36,12.24,163.09,3214.29,1
88.78,43.36,39.39,63.28,41.09,1293.52,7.83,1722.67,8.39,10.78,173.03,6190.81,1
92.58,78.62,32.65,27.92,41.13,223.16,6.75,293.12,10.29,7.42,61.3,1796.63,1
66.8,45.31,21.32,30.94,28.41,984.12,6.93,1259.39,8.63,5.21,166.7,2830.78,1
62.18,71.67,22.1,50.59,31.42,661.29,7.53,827.19,5.65,8.22,109.28,3700.1,1
78.98,48.52,33.84,47.78,35.01,1007.18,6.92,1454.41,8.75,12.17,43.73,6625.09,1
68.39,76.34,39.9,72.05,37.38,906.43,9.1,1304.08,4.23,3.17,49.61,8068.99,1
51.14,87.05,27.47,60.65,30.27,468.2,9.06,630.54,6.88,5.07,148.47,7488.69,1
57.03,84.46,22.75,47.17,24.46,1216.65,7.41,1762.94,4.57,20.95,99.52,2865.61,1
82.22,83.26,41.01,31.95,39.22,790.33,8.23,1094.39,2.28,12.86,178.9,5740.54,1
79.65,43.14,35.08,35.88,39.47,1187.04,7.94,1500.15,5.17,3.27,157.48,1725.17,1
51.22,36.19,28.44,60.29,30.07,687.22,8.7,875.2,12.85,15.86,43.47,3829.03,1
59.99,78.93,29.64,49.64,30.03,1381.62,8.19,1980.17,6.03,3.24,149.9,7544.88,1
60.4,55.78,21.13,56.04,26.02,1124.59,6.5,1547.44,11.35,16.78,70.78,4924.99,1
80.24,60.26,33.8,31.95,38.8,1359.14,8.56,1928.13,3.04,17.0,107.61,2624.56,1
50.89,32.18,25.76,66.4,29.11,817.19,8.52,1168.3,6.65,15.02,139.96,4789.15,1
54.68,48.17,44.87,79.68,32.05,768.43,7.88,1029.38,2.17,16.64,179.63,2985.25,1
86.0,32.36,29.41,38.06,34.38,1106.54,8.94,1393.92,2.51,3.76,112.98,4448.94,1
58.03,91.54,29.58,54.41,30.31,1256.35,8.95,1617.75,9.45,16.54,169.36,5158.75,1
79.37,47.04,31.98,88.29,37.29,1356.97,7.91,1714.29,9.31,4.73,165.27,4121.69,1
60.72,69.01,42.5,43.33,34.46,589.46,8.14,759.08,3.59,8.79,106.33,8527.27,1
54.47,32.73,39.02,61.65,33.64,1158.45,9.19,1543.17,7.38,20.85,120.16,5718.98,1
60.94,76.68,28.53,26.31,28.8,452.77,7.31,576.67,13.02,12.06,152.08,7821.7,1
82.5,52.61,36.56,62.42,34.19,854.69,7.38,1096.86,3.03,21.35,44.98,7205.46,1
88.51,92.85,32.59,26.27,37.68,415.82,6.99,556.85,0.78,3.78,182.53,6458.75,1
87.36,92.17,29.77,87.15,37.39,616.88,8.92,813.06,9.95,11.55,163.17,5226.67,1
